Date,Open,High,Low,Close,Volume
3-Oct-17,-,-,-,0.63,-
2-Oct-17,-,-,-,0.63,-
1-Oct-17,-,-,-,0.64,-
30-Sep-17,-,-,-,0.64,-
29-Sep-17,-,-,-,0.64,-
28-Sep-17,-,-,-,0.64,-
27-Sep-17,-,-,-,0.64,-
26-Sep-17,-,-,-,0.64,-
25-Sep-17,-,-,-,0.64,-
24-Sep-17,-,-,-,0.64,-
23-Sep-17,-,-,-,0.64,-
22-Sep-17,-,-,-,0.64,-
21-Sep-17,-,-,-,0.64,-
20-Sep-17,-,-,-,0.64,-
19-Sep-17,-,-,-,0.64,-
18-Sep-17,-,-,-,0.63,-
17-Sep-17,-,-,-,0.63,-
16-Sep-17,-,-,-,0.62,-
15-Sep-17,-,-,-,0.61,-
14-Sep-17,-,-,-,0.60,-
13-Sep-17,-,-,-,0.59,-
12-Sep-17,-,-,-,0.58,-
11-Sep-17,-,-,-,0.59,-
10-Sep-17,-,-,-,0.62,-
9-Sep-17,-,-,-,0.65,-
8-Sep-17,-,-,-,0.67,-
7-Sep-17,-,-,-,0.68,-
6-Sep-17,-,-,-,0.69,-
5-Sep-17,-,-,-,0.70,-
4-Sep-17,-,-,-,0.70,-
3-Sep-17,-,-,-,0.67,-
2-Sep-17,-,-,-,0.66,-
1-Sep-17,-,-,-,0.65,-
31-Aug-17,-,-,-,0.64,-
30-Aug-17,-,-,-,0.64,-
29-Aug-17,-,-,-,0.64,-
28-Aug-17,-,-,-,0.64,-
27-Aug-17,-,-,-,0.63,-
26-Aug-17,-,-,-,0.64,-
25-Aug-17,-,-,-,0.64,-
24-Aug-17,-,-,-,0.64,-
23-Aug-17,-,-,-,0.65,-
22-Aug-17,-,-,-,0.65,-
21-Aug-17,-,-,-,0.65,-
20-Aug-17,-,-,-,0.67,-
19-Aug-17,-,-,-,0.67,-
18-Aug-17,-,-,-,0.68,-
17-Aug-17,-,-,-,0.68,-
16-Aug-17,-,-,-,0.68,-
15-Aug-17,-,-,-,0.68,-
14-Aug-17,-,-,-,0.68,-
13-Aug-17,-,-,-,0.68,-
12-Aug-17,-,-,-,0.68,-
11-Aug-17,-,-,-,0.68,-
10-Aug-17,-,-,-,0.68,-
9-Aug-17,-,-,-,0.68,-
8-Aug-17,-,-,-,0.68,-
7-Aug-17,-,-,-,0.68,-
6-Aug-17,-,-,-,0.68,-
5-Aug-17,-,-,-,0.68,-
4-Aug-17,-,-,-,0.67,-
3-Aug-17,-,-,-,0.67,-
2-Aug-17,-,-,-,0.67,-
1-Aug-17,-,-,-,0.67,-
31-Jul-17,-,-,-,0.67,-
30-Jul-17,-,-,-,0.67,-
29-Jul-17,-,-,-,0.67,-
28-Jul-17,-,-,-,0.67,-
27-Jul-17,-,-,-,0.66,-
26-Jul-17,-,-,-,0.66,-
25-Jul-17,-,-,-,0.66,-
24-Jul-17,-,-,-,0.65,-
23-Jul-17,-,-,-,0.65,-
22-Jul-17,-,-,-,0.65,-
21-Jul-17,-,-,-,0.65,-
20-Jul-17,-,-,-,0.65,-
19-Jul-17,-,-,-,0.66,-
18-Jul-17,-,-,-,0.66,-
17-Jul-17,-,-,-,0.66,-
16-Jul-17,-,-,-,0.66,-
15-Jul-17,-,-,-,0.66,-
14-Jul-17,-,-,-,0.67,-
13-Jul-17,-,-,-,0.67,-
12-Jul-17,-,-,-,0.67,-
11-Jul-17,-,-,-,0.67,-
10-Jul-17,-,-,-,0.68,-
9-Jul-17,-,-,-,0.69,-
8-Jul-17,-,-,-,0.69,-
7-Jul-17,-,-,-,0.69,-
6-Jul-17,-,-,-,0.69,-
5-Jul-17,-,-,-,0.68,-
4-Jul-17,-,-,-,0.68,-
3-Jul-17,-,-,-,0.67,-
2-Jul-17,-,-,-,0.66,-
1-Jul-17,-,-,-,0.67,-
30-Jun-17,-,-,-,0.66,-
29-Jun-17,-,-,-,0.66,-
28-Jun-17,-,-,-,0.66,-
27-Jun-17,-,-,-,0.66,-
26-Jun-17,-,-,-,0.65,-
